language,dialect,accent,text,transliteration,sentiment_1,sentiment_2,sentiment_3
Caspian,Mazandarani,Tonekaboni,داره بوشُم,dare bushom,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,خرس اَنه بوخاره، ترکنه (اینه مو ریزنه),"khers ane bokhare, terkene (ine mu rizene)",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,مِره وشنایه,mere vashnāye,negative,neutral,negative
Caspian,Mazandarani,Tonekaboni,چای نوخارنُم,chāi nokharnom,neutral,negative,neutral
Caspian,Mazandarani,Tonekaboni,عالی با؛ ماچ تی جان، تی قربان بوشُم,"āli bā; māch ti jān, ti ghorbān boshum",positive,positive,positive
Caspian,Mazandarani,Tonekaboni,آفتاب کُدام سَمت در بومه؟,āftab kodām samt dar boma?,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,اونه خدا بزه.,une khoda baza.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,چی درست اَکوردی,chi doros akordi,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,کیجایِشان دارن بوشن,kijāyshān daren boshon,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,کیجایِشان دَبون بوشن,kijāyshān dabān boshon,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,روان‌شناسشون بُرمِه کردنه خیلی خاصیت دانن و گونن بُرمِه کردن راهی هسه از فشار و استرس رها بِبی و درد و غم و غصه‌ره تحمل اَکُنی.,rawānshenaseshan borme kardane kheili khāsiat dānen va gunen borme kardan rāhi hesse az feshār o esteres rāhā bebi va darde o ghamo ghosare tahamol akoni.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,اون مربا خوردن داره.,un morabā khordan dare.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,می عمر ایتا غذا نوخارده بام.,mi omr ita ghazā nokhārde bām.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,تی زن و بچه چطورن؟,ti zano bache chetoren?,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,تی دست درد نکنه، این کلیپ گیوه هرسینیه پخش اَکوردی.,ti dast dard nakone in klipe giveh harsinie pakhsh akordi.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,ای داد و بیداد، امی پیرشانه میراث بی پشت و پناه بمانسه.,ay dādo bidād ami piyareshane mirās bi poshto panāh bemanese.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,بیشترشانه اول دفعه وینُم.,bishtareshane aval dafa vinom.,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,ای جان، امی شهره,ey jān ami shahre,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,درود فراوان به کُردِ زنان سرتاسر دنیا، از کرمانشا بگیته تا کردستان,dorude ferāvān be korde zenan sartāsare donya az kermānshā begite tā kordestān,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,هَروَخت نان دُرُست کَنه با، اَمره صِدا زَنه با. امی وَچِه‌یِشان هم هَمه اینه کِنارِ به صَف نیشِنه بیم و چِش دَوِسِنه بیم تا نانِ ساجه رو بِرِشته بابو و امی دَس بَرسه.,harvakh nān doros kane ba amere sedā zane ba. ami vachayshan ham hame ine kenar be saf nishene bim va chesh davesene bim ta nāne saje ru bereshte babu o ami das barese.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,ببِردَن و بیارِدَن,baberdan o biyārden,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,داد و فَریاد,dād o faryād,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,خُدا تِره بِداره,khoda tere bedare,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,اَگَر حضرتِ حَقِّه اَمر نَبو، بَرگ از دِرَخت نَکَنه.,"agar hazrate haghe amr nabu, barg az derakht nakane.",positive,neutral,positive
Caspian,Mazandarani,Tonekaboni,نوخارْدیم نان و گَندُم، اَما بِدِیم دَستِ مَردُم.,"nokhārdim nāno gandom, ama bedeym daste mardom.",positive,negative,positive
Caspian,Mazandarani,Tonekaboni,آن چیَه تا دَسِت اینه چِش فُرو نَکُنی، دَهان باز نَکونه,"ān chiya ta das ine chesh foru nakoni, dahan bāz nako",neutral,negative,neutral
Caspian,Mazandarani,Tonekaboni,مَگِه تِره زَنگ نَزَن؟,mage tere zang nazan?,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,فَریاد,faryād,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,کرکِتال,karketāl,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,فِرار,ferār,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,بِگو مِره چَندی خونه خُش بِگْذره,bogo mere chandi khane khosh begzare,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,تی پِیرِه لَعْنَت,ti peyare l'anat,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,امی هکِرِشان چیزی کَم از بَقّیه نِدارِن,ami hakereshan chizi kam az baghiye nedāren,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,خیلی جالِب بونه,kheili jāleb bune,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,فَقَد مُنتَظِرِه یکی از بازی‌های شیرینِت بو,faghad montazere yeki az bāzihāye shirinet bu,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,مُنتَظِرِه تازه آتیش حِسّیم.,montazere tāze ātish hessim.,negative,positive,negative
Caspian,Mazandarani,Tonekaboni,یعنی این‌که، کار نَکَنه.,"yani inke, kār nakane.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,گَرچه از ۱۰ تا کارِگَر تَشکیل بابا، ۱۵ سال طول کَشِنه.,"garche az 10 ta karegar tashkil bābā, 15 sāl tul kashene.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,به نَظَر آنه که بَقّیه آدَمِشان هم با تَیّاره شونِن لوگار.,be nazar āne ke baghiye ādameshān ham bā tayāre shonen Logār.,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,به نَظَر آنه که ساخته این فرودگاه هم مِریخ رِسِنه.,be nazar āne ke sākhte in furudgāh ham merikhe resene.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,دِرَختِ میوه کِرْم از خُودِشِه.,derakhte mive kerm az khodeshe,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,بیرونِ باغه که بِدِیم تا تَهِ باغه بِدِیم/بوخانسوم,birune bāghe ke bedeym ta tahe baghe bedeym,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,حَرفِ اَگه شیشهٔ دِلِه اَکُنی، به بیرون دَرز نَکَنه.,harfe age shishe dele akoni be birun darz nakane.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,حَرف تَا دِلِه مین داری، تی اختیار دره.,harfe ta dele miyan dāri ti ekhtiār dare.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,دِل ‌خا سفره نِیه هَمه پیش وا هَکُنی.,del khā sofre neya hame pish vā hakoni.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,خِرسِ آهنگری دَوِسَن.,kherse āhangari davesan.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,اَگَر آبه ‌هاونه مین دَکُنِن، نِزارنِن تو بیکار بی.,agar ābe hāvane miyan dakonen nezārnen to bikār bi.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,کُور اَگه بازار نُشه، بازار گَندِنه.,kur age bāzār noshe bāzār gandene,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,این آخَرین دَفعه‌.,in ākharin dafa',negative,neutral,negative
Caspian,Mazandarani,Tonekaboni,چاه کَن همیشه تَهِ چاه دره.,chāh kan hamishe tahe chā dare,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,غذا قیمت به نِسبَتِ اینه حجم خیلی گِران و غِیرِ مُنصِفانه هِسِه، ساندویچِ هیولای ژامبون در حَدِ وَچه‌غول هم نَبا، اَما ساندویچِ چوریتسو عالی و بسیار بسیار خوش‌مَزه با.,"ghazā gheymat be nesbate ine hajm kheili gerān o gheire monsefāne hese, sandeviche hayulāye zhāmbon dar hade vache ghul ham nabā ama sāndeviche choritso āli o besyār besyār khoshmaze bā.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,لُطف اَکونین از عکسِ اینترنتی استفاده نَکونین و عکسِ خُوده محصول بَنین. آخِه این کُجه و اون کُجه. مُتأسِفَم.,lotf akonin az akse interneti estefāde nakonin o akse khode mahsule banin. akhe in koje o un koje. mota'sefam,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,شدید آسیب بِدِیه با (طبقِ عکسِ آپلود شُده).,shadid āsib bedeye bā (tebghe akse āplod shode),negative,negative,negative
Caspian,Mazandarani,Tonekaboni,جای کیکِ وانیلی‌ه کاکائویی، یه کیکِ کاکائویی ساده ارسال اَکوردِن.,"jaye keyke vānili kākāoi, ye keyke kākāoi sāde ersāl akorden.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,اینه خورش مَزه آب دنه با، ٪۹۵ حجم قیمه ‌لپه با؛ اَصلَن پیشنهاد نَکونُم.,ine khoresh maze āb dane bā %95 ine gheyme lape bā aslan pishnahād nakonom.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,بسیار عالی و خوش‌موقع، ممنونُم.,"besyar āli o khosh moghe, mamnunom.",positive,positive,positive
Caspian,Mazandarani,Tonekaboni,حَجمِ ساندویچ کُلان نِصف با.,hajme sandevich kolan nesf bā,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,عالی… فقط یه چَنگاله‌جا خالی با.,āli .. faghat ye changāle ja khāli bā,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,فوق‌العاده بی‌نَمَک با و بوی تُندِ گوشت دانه با.,fogholāde bi namak bā va boye tonde gusht dane bā,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,اَوَل این‌که بویِ بَدی دنه با، دُوُم این‌که هَمه چیِه خارنه با جُز رُست‌بیفه که مِره یادِ گوشتِ آب‌پَزِ دیزی مین بِن‌داخته؛ بسیار خیس با، نان خُشک و بَد‌مَزه‌ای با. لُطفاً تَناسُبِ مایعات رو رعایت اَکونین؛ احتمالاً آخَرین باره که ایجه سفارش دنُم.,"aval inke boye badi dane bā dovom inke hame chie khārne bā joz rost bife ke mere yade gushte ābpaze dizie miyan bendakhte besyār khis bā, nān khoshko bad mazei bā, lotfan tanasobe māyeāte roāyat akonin ehtemālan akharin bare ke ije sefāresh danom",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,پس چِرا نیانی؟,pas cherā niyāni?,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,اَما هم آنیم.,amā ham ānim,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,عَجَله هَکون.,ajale hakon,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,پس کُجه دری عزیزُم؟,pas koje dari azizom?,positive,negative,positive
Caspian,Mazandarani,Tonekaboni,بیا بیشیم ناهار بوخاریم. وای نه، یه چی آشغال بوخاردم، می دِل بِهَم بِریخته.,"biya bishim nāhār bokhārim. vay na, ye chi āshghāl bokhārdom, mi del beham berikhte. ",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,مِنو تو و حَسَن,meno to o hasan,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,گُلو بُلبُلو سُنبُل,golo bolbolo sonbol,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,پَنج به‌علاوهٔ چار به‌علاوهٔ سِه,panj be alāveye chār be alāweye se,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,چِرا نِیانی پس؟,cherā neyāni pas?,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,می کَمَر داغان بابا.,mi kamar dāghān bābā,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,این کار خُو اندی فِس‌فِس کَردن و دیر جُنبیدن نیاز نِداره.,in kar khā andi fes fes kardano dir jonbidan niāz nedāre,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,یه‌باره دیگه ایتا بابا وی هَمراه دعوا کانُم.,yebāre dige itā bābā vi hamrā davā kanom,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,از بس خوب با، دِل پیچه بِیتُم.,"az bas khub bā, del piche beytom",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,چه ره ری؟,,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,با کار/آدَمه خَطَرنَک در اَکِتی.,ba kār/ādame khatarnāk dar aketi.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,خُدا دانه، خَدیجه.,"khodā dāne, khadije",neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,حالا اندی شُخُو‌شَنگ بودن و بگو بِخَند کَردن خوب نِیه.,hala andi shukho shang budan o begu bekhand kardan khub niya,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,مَگه کسی تِره دُنبال اَکوردِه؟,mage kasi tere donbāl akorde?,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,نانِ گَندُمِه هَضم کَردن مِعدهٔ فولادی خَانه.,nāne gandome hazm kardan m'ede fulādi khane,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,ای شَخص خیلی خَسیس هِسِه.,i shakhs kheili khasis hesse.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,چاقوی تیز، بَره‌ی نَره آماده هِسِه.,"chaghoye tiz, bareye nare āmāde hesse.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,خوشتی‌ره بوخار، مردمِه‌ره دَکون.,"khoshti re bokhār, mardome re dakon. ",positive,positive,positive
Caspian,Mazandarani,Tonekaboni,تی پیره سفره سَرِ کوچه داره.,ti piyare sofre sare kuche dare.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,این شُکوفه‌شان چه زیبا هِسِن.,in shokofeshan che zibā hessen.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,شیمی خانه,shimi khāne,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,خُدا خَرِه بِدِیِه، اینه شاخ نَده.,khodā khare bedey ine shākh nada,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,طَرَف مَاره بوکُشته، اَما وَچه مَاره زِنده بَنه.,"taraf mare bokushte, ama vache mare zende bana.",negative,negative,negative
Caspian,Mazandarani,Tonekaboni,جنگلی شُتُر بِدیه.,jangali shotor bediya.,neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,زِمِستانه چِشم کوره.,zemestāne cheshm kure,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,پیچایه بُراغ اَکوردِه.,pichāye boragh akorde,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,تی سَرِ فِدا، عِیب نَداره.,"ti sare fedā, eb nedāre",positive,positive,positive
Caspian,Mazandarani,Tonekaboni,اینه دِماغ چَندی گَته. اینه لَب خُوده ميمونه موس.,ine demāgh chandi gata. ine lab khode mimune mus,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,اِنگار از فیل موس دَکِته.,engār az file kun dakete,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,تورو خُدا بفرمایین خانه دِلِه.,toro khoda befarmāyin khāne dele.,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,عَبدِه، این کیه؟,"abde, in kiya?",neutral,neutral,neutral
Caspian,Mazandarani,Tonekaboni,غُلام سیاه اَبره هَمراه بُما و کیجایه به قَصرِ شاهِ پَریان ببُرده.,gholām siāh abre hamrā boma va kijāye be ghasre shāhe pariyān baberde. ,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,این وب چَندی قشنگه.,in veb chandi ghashange,positive,positive,positive
Caspian,Mazandarani,Tonekaboni,خنوم، می یَقه پاره اَکونُم.,khanom mi yagha pāre akonom.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,گی بوخاره، تی کاره.,gi bokhāre ti kāre.,negative,negative,negative
Caspian,Mazandarani,Tonekaboni,بَرعَکسِ اینه مار که عاقِل با، این اِنگار توره.,barakse ine mār ke āghel bā in engār divāna.,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,دەرەم چەم,derem chem,neutral,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,خەرس ئاوه بۆخۆوەی، ترەکە. (موێلی ڕەزە.),"khers āwa bkhwey, tarake. (mueyli rreze.)",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,گۆسنمە,gosnama,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,مە چای نیخۆوم,me chāy nyakhowam,neutral,neutral,neutral
Kurdish,Southern Kurdish,Southern Kurdish,فره خاس بی، ماچ و گیانت، قوربانت بچم,"fera khās bi, māch wa gyanet, qorbānet bechem",positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئه‌فتەو و کورە دەرهاتیه؟,āftow wa kura der hatiya?,negative,negative,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئاوه خۆدا داسە لی.,āwa khodā dāsa li.,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,چه دۆرۆس کەردیده؟,cha doros kerdida?,neutral,neutral,positive
Kurdish,Southern Kurdish,Southern Kurdish,دوتەیل دەرەن چەن,doteyl deren chen,neutral,neutral,positive
Kurdish,Southern Kurdish,Southern Kurdish,دوتەیل داشتن چیان,doteyl dashten chiyān,neutral,neutral,positive
Kurdish,Southern Kurdish,Southern Kurdish,ره‌وانناسه‌گان خاسییه‌یل فره‌ێگ ئه‌ڕاێ گیره‌ کردن شمارینه‌ و گیره‌ کردن ڕێگه‌ێ ئه‌ڕاێ ئازاد بین له‌ ده‌س فشار و ئسترسه‌یل ژیان و تاوشت ژان و خه‌م و خوسه‌ زانستنه‌.,rawānnāsagān khāsieyle fereig arrāy gira kerden shemārina wa gira kerden rrigey arrāy āzād bin la dase feshār wa estereseyle zhian wa tāweshte khamu khossa zānestena.,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,او مربا خواردن دری,ow morabbā khwārden dere,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,له مدت عمرم ایجو غذایله نخواردمه,la meddate omrem iju ghazāyeyla nakhwārdema,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,مناڵەیل و ئات ئەیال چۊنن؟,menāleyl wa āto ayal chunen?,positive,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,دستان خوش ئەڕا ای کلیپه که پخش کردینه درباری کلاش هرسینی,dasedān khwash arrā i kilipa ke pakhsh kerdina darbārey kelāshe harsini,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئاخ و داخ ‌‌ئەڕا میراث باوانمان که بێ پشتگیری که‌تێەسه پراوێز,ākho dākh ārra mirāse bawaneman ke bi peshtgiri katiyasa perāwiz,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,اول باره بیشتریان دیونم,awal bāra bishteriān dunem,neutral,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,ای گیان ئەڕا شارگمان,ey gyān arrā shāragamān,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,درود فره و ژنیل کورد له سراسر گیتی له کرماشان بگر تا کوردستان.,durude fera wa zheneyle kurd la sarāsare giti la kermāshān beger tā kurdessān,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,هه‌ر وه‌خت نان کردیاد هاتیاد چڕیاده‌مان. ئیمه‌ مناڵه‌یل گشت وه‌ رزاره‌و نیشتیایمنه‌ شانێ و چه‌وه‌ڕێ وسیایم نانه‌ ساجیه‌گانێ له‌ وه‌رتاوه‌ برشته‌ بکه‌ێد و به‌ێده‌ ده‌سمانه‌و.,harwakht nān kerdiād hātiyād cherriyādamān. ima menāleyl gesht wa rrezārow nishtiaymena shāni wa chāwarri wesāyma nāna sājiagāni la war tāwa bereshta bekeid wa biyeyda dasemānow.,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,بەڕدێنو هاوەڕدەن,berrdinu hāwerden,neutral,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,دادۆ هاوار,dādu hāwār,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,خۆدا نەگادارت,khodā negādāret,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئەگەر خۆدا نێتەوێ، هۆچ بلگیگ و دارو نەکەفێد,"aga khodā nyatwey, huch balgig wa dārow nyakafed",neutral,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,شاید نەخواردیمە نانە گەنم، وەلی دیمەنە دسە مەردەم,"shāyad nakhwārdima nāne ganem, wali dimena dase mardem",negative,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئاوه چه‌س تا ده‌س نەکەیده ناو چاوی، دەم وا نەکەی؟,"āwa chas tā das nakeyda naw chāwi, dam wā nakey?",neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,مەگە وە پیت زەنگ نیان؟,maga wa pit zang niyān?,neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,هاوار,hāwār,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,شەکەت,shakat,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,درچین,darchin,neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,بۆش چه‌نی قەڕاره خوش بگەزەرێد,bush chani qarāra khwash begzared,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,له‌ئنت و باوگەت,la‘nat wa bāwget,negative,negative,negative
